epoch	avg_batch_train_loss	epoch_train_acc	avg_batch_val_loss	epoch_val_acc	epoch_val_f1
1.0	0.5139845706458784	0.7141711229946524	0.4046899452805519	0.792156862745098	0.7834967320261438
2.0	0.3778985644507612	0.8213903743315508	0.3939409237354994	0.7980392156862746	0.7864104513720882
3.0	0.34501498313541085	0.8406417112299466	0.3929552920162678	0.7980392156862746	0.787220253164557
4.0	0.33625044106927693	0.847860962566845	0.3922861460596323	0.803921568627451	0.7936091686091686
5.0	0.337133717078429	0.8470588235294118	0.3946635266765952	0.792156862745098	0.782016129032258
6.0	0.3373506989998695	0.846524064171123	0.3910891469568014	0.792156862745098	0.7816251676388373
7.0	0.3367780733567018	0.8481283422459893	0.3938291948288679	0.796078431372549	0.7853535353535354
8.0	0.3369646543620998	0.8481283422459893	0.39655810687690973	0.7901960784313725	0.7797634182073541
9.0	0.33717424938311946	0.8459893048128342	0.3934825547039509	0.7901960784313725	0.7797634182073541
10.0	0.336810120787376	0.8494652406417113	0.39215918630361557	0.7941176470588235	0.7846379061415397
